time	V(vc)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	3.600823e-008
1.999999887924986e-010	7.201646e-008
5.475869141807784e-004	1.940659e-001
1.095173628361568e-003	3.830944e-001
1.642760342542357e-003	5.670857e-001
2.190347056723147e-003	7.460398e-001
2.737933770903937e-003	9.199566e-001
3.285520485084726e-003	1.088836e+000
3.833107199265514e-003	1.252679e+000
4.721678627836907e-003	1.508270e+000
5.610250056408301e-003	1.753605e+000
6.498821484979694e-003	1.988682e+000
7.387392913551087e-003	2.213502e+000
8.275964342122480e-003	2.428064e+000
9.164535770693873e-003	2.632369e+000
1.005310719926526e-002	2.826416e+000
1.006310719926526e-002	2.828563e+000
1.152453577069378e-002	3.127120e+000
1.298596434212229e-002	3.407436e+000
1.444739291355080e-002	3.669512e+000
1.590882148497931e-002	3.913347e+000
1.737025005640783e-002	4.138941e+000
1.883167862783634e-002	4.346295e+000
2.029310719926485e-002	4.535408e+000
2.030310719926485e-002	4.536676e+000
2.176453577069336e-002	4.712980e+000
2.322596434212187e-002	4.878513e+000
2.468739291355038e-002	5.033275e+000
2.614882148497890e-002	5.177265e+000
2.761025005640741e-002	5.310483e+000
2.907167862783592e-002	5.432930e+000
3.053310719926443e-002	5.544605e+000
3.054310719926443e-002	5.545354e+000
3.200453577069341e-002	5.649465e+000
3.346596434212240e-002	5.747216e+000
3.492739291355139e-002	5.838606e+000
3.638882148498037e-002	5.923635e+000
3.785025005640935e-002	6.002304e+000
3.931167862783834e-002	6.074611e+000
4.077310719926732e-002	6.140558e+000
4.078310719926732e-002	6.141000e+000
4.224453577069634e-002	6.202480e+000
4.370596434212536e-002	6.260204e+000
4.516739291355439e-002	6.314172e+000
4.662882148498340e-002	6.364383e+000
4.809025005641242e-002	6.410839e+000
4.955167862784144e-002	6.453538e+000
5.101310719927046e-002	6.492481e+000
5.102310719927046e-002	6.492742e+000
5.230310719927085e-002	6.524769e+000
5.358310719927124e-002	6.555040e+000
5.486310719927164e-002	6.583556e+000
5.614310719927203e-002	6.610316e+000
5.742310719927242e-002	6.635322e+000
5.870310719927281e-002	6.658572e+000
5.998310719927320e-002	6.680066e+000
5.999310719927321e-002	6.680231e+000
6.000000000000000e-002	6.680344e+000
