time	V(Vin,Vc)	V(vc)	I(C1)
7.883031072006922e-003	4.666477e+000	2.333523e+000	4.320812e-003
7.985431072006314e-003	4.641961e+000	2.358039e+000	4.298112e-003
8.087831072005705e-003	4.617574e+000	2.382426e+000	4.275532e-003
8.190231072005097e-003	4.593315e+000	2.406685e+000	4.253069e-003
8.292631072004489e-003	4.569183e+000	2.430817e+000	4.230725e-003
8.395031072003881e-003	4.545178e+000	2.454822e+000	4.208499e-003
8.497431072003273e-003	4.521300e+000	2.478700e+000	4.186389e-003
8.599831072002665e-003	4.497546e+000	2.502454e+000	4.164395e-003
8.702231072002057e-003	4.473918e+000	2.526082e+000	4.142517e-003
8.804631072001449e-003	4.450413e+000	2.549587e+000	4.120753e-003
8.907031072000840e-003	4.427033e+000	2.572967e+000	4.099105e-003
9.009431072000232e-003	4.403775e+000	2.596225e+000	4.077569e-003
9.111831071999624e-003	4.380639e+000	2.619361e+000	4.056147e-003
9.214231071999016e-003	4.357625e+000	2.642375e+000	4.034838e-003
9.316631071998408e-003	4.334731e+000	2.665269e+000	4.013640e-003
9.419031071997800e-003	4.311958e+000	2.688042e+000	3.992554e-003
9.521431071997192e-003	4.289304e+000	2.710696e+000	3.971578e-003
9.623831071996583e-003	4.266770e+000	2.733230e+000	3.950713e-003
9.726231071995975e-003	4.244354e+000	2.755646e+000	3.929957e-003
9.828631071995367e-003	4.222056e+000	2.777944e+000	3.909311e-003
9.931031071994759e-003	4.199874e+000	2.800126e+000	3.888773e-003
1.003343107199415e-002	4.177810e+000	2.822190e+000	3.868342e-003
1.013583107199354e-002	4.155861e+000	2.844139e+000	3.848020e-003
1.023823107199294e-002	4.134028e+000	2.865972e+000	3.827804e-003
1.034063107199233e-002	4.112309e+000	2.887691e+000	3.807693e-003
1.044303107199172e-002	4.090704e+000	2.909296e+000	3.787689e-003
1.054543107199111e-002	4.069213e+000	2.930787e+000	3.767790e-003
1.064783107199050e-002	4.047835e+000	2.952165e+000	3.747995e-003
1.075023107198989e-002	4.026569e+000	2.973431e+000	3.728305e-003
1.085263107198929e-002	4.005415e+000	2.994585e+000	3.708718e-003
1.095503107198868e-002	3.984372e+000	3.015628e+000	3.689233e-003
1.105743107198807e-002	3.963440e+000	3.036560e+000	3.669851e-003
1.115983107198746e-002	3.942617e+000	3.057383e+000	3.650571e-003
1.126223107198685e-002	3.921904e+000	3.078096e+000	3.631393e-003
1.136463107198625e-002	3.901300e+000	3.098700e+000	3.612315e-003
1.146703107198564e-002	3.880804e+000	3.119196e+000	3.593337e-003
1.156943107198503e-002	3.860415e+000	3.139585e+000	3.574459e-003
1.167183107198442e-002	3.840134e+000	3.159866e+000	3.555680e-003
1.177423107198381e-002	3.819960e+000	3.180040e+000	3.536999e-003
1.187663107198320e-002	3.799891e+000	3.200109e+000	3.518417e-003
1.197903107198260e-002	3.779927e+000	3.220073e+000	3.499933e-003
1.208143107198199e-002	3.760069e+000	3.239931e+000	3.481545e-003
1.218383107198138e-002	3.740315e+000	3.259685e+000	3.463255e-003
1.228623107198077e-002	3.720665e+000	3.279335e+000	3.445060e-003
1.238863107198016e-002	3.701118e+000	3.298882e+000	3.426961e-003
1.249103107197956e-002	3.681674e+000	3.318326e+000	3.408957e-003
1.259343107197895e-002	3.662331e+000	3.337669e+000	3.391047e-003
1.269583107197834e-002	3.643091e+000	3.356909e+000	3.373232e-003
1.279823107197773e-002	3.623951e+000	3.376049e+000	3.355510e-003
1.290063107197712e-002	3.604912e+000	3.395088e+000	3.337882e-003
1.300303107197652e-002	3.585973e+000	3.414027e+000	3.320346e-003
1.310543107197591e-002	3.567134e+000	3.432866e+000	3.302902e-003
1.320783107197530e-002	3.548393e+000	3.451607e+000	3.285550e-003
1.331023107197469e-002	3.529752e+000	3.470248e+000	3.268288e-003
1.341263107197408e-002	3.511208e+000	3.488792e+000	3.251118e-003
1.351503107197347e-002	3.492761e+000	3.507239e+000	3.234038e-003
1.361743107197287e-002	3.474411e+000	3.525589e+000	3.217047e-003
1.371983107197226e-002	3.456158e+000	3.543842e+000	3.200146e-003
1.382223107197165e-002	3.438000e+000	3.562000e+000	3.183334e-003
1.392463107197104e-002	3.419938e+000	3.580062e+000	3.166610e-003
1.402703107197043e-002	3.401971e+000	3.598029e+000	3.149973e-003
1.412943107196983e-002	3.384099e+000	3.615901e+000	3.133425e-003
