time	V(vc)
0.000000000000000e+000	0.000000e+000
9.999999960041972e-012	3.600823e-009
1.999999992008394e-011	7.201646e-009
1.436158342849682e-004	5.151607e-002
2.872316485699365e-004	1.026598e-001
4.308474628549047e-004	1.534312e-001
5.744632771398730e-004	2.038304e-001
7.180790914248413e-004	2.538572e-001
8.616949057098095e-004	3.035117e-001
1.005310719994778e-003	3.527939e-001
1.006310719994777e-003	3.531358e-001
1.152453577137625e-003	4.029103e-001
1.298596434280472e-003	4.523188e-001
1.444739291423319e-003	5.013614e-001
1.590882148566166e-003	5.500381e-001
1.737025005709014e-003	5.983489e-001
1.883167862851861e-003	6.462938e-001
2.029310719994708e-003	6.938727e-001
2.030310719994708e-003	6.941971e-001
3.054310719994844e-003	1.017758e+000
4.078310719994979e-003	1.324717e+000
5.102310719995115e-003	1.615925e+000
6.126310719995251e-003	1.892190e+000
7.150310719995387e-003	2.154280e+000
8.174310719995210e-003	2.402922e+000
9.198310719994458e-003	2.638805e+000
1.022231071999371e-002	2.862585e+000
1.124631071999295e-002	3.074883e+000
1.227031071999220e-002	3.276287e+000
1.329431071999145e-002	3.467357e+000
1.431831071999070e-002	3.648622e+000
1.534231071998994e-002	3.820587e+000
1.636631071999048e-002	3.983728e+000
1.739031071999150e-002	4.138497e+000
1.841431071999253e-002	4.285326e+000
1.943831071999355e-002	4.424620e+000
2.046231071999458e-002	4.556767e+000
2.148631071999560e-002	4.682133e+000
2.251031071999662e-002	4.801067e+000
2.353431071999765e-002	4.913898e+000
2.455831071999867e-002	5.020939e+000
2.558231071999970e-002	5.122488e+000
2.660631072000072e-002	5.218826e+000
2.763031072000174e-002	5.310221e+000
2.865431072000277e-002	5.396926e+000
2.967831072000379e-002	5.479182e+000
3.070231072000482e-002	5.557218e+000
3.172631072000584e-002	5.631249e+000
3.275031072000686e-002	5.701482e+000
3.377431072000789e-002	5.768111e+000
3.479831072000891e-002	5.831322e+000
3.582231072000994e-002	5.891288e+000
3.684631072001096e-002	5.948178e+000
3.787031072001199e-002	6.002149e+000
3.889431072001301e-002	6.053350e+000
3.991831072001403e-002	6.101924e+000
4.094231072001506e-002	6.148006e+000
4.196631072001608e-002	6.191723e+000
4.299031072001711e-002	6.233197e+000
4.401431072001813e-002	6.272543e+000
4.503831072001915e-002	6.309870e+000
4.606231072002018e-002	6.345282e+000
4.708631072002120e-002	6.378876e+000
4.811031072002223e-002	6.410747e+000
4.913431072002325e-002	6.440983e+000
5.015831072002427e-002	6.469667e+000
5.118231072002530e-002	6.496879e+000
5.220631072002632e-002	6.522695e+000
5.323031072002735e-002	6.547186e+000
5.425431072002837e-002	6.570421e+000
5.527831072002939e-002	6.592463e+000
5.630231072003042e-002	6.613375e+000
5.732631072003144e-002	6.633213e+000
5.835031072003247e-002	6.652033e+000
5.937431072003349e-002	6.669888e+000
5.999931072003412e-002	6.680333e+000
6.000000000000000e-002	6.680344e+000
